p,d,q,P,D,Q,s,n_params,nobs,aic,bic,hqic,converged,seconds,error
3,2,4,1,1,1,24,9,2927,32354.367400252202,32414.08516148101,32375.885546632722,False,20.28100037574768,
3,2,5,1,1,1,24,10,2927,32403.444157726393,32469.129898701856,32427.113166270046,False,24.07189393043518,
3,2,6,1,1,1,24,11,2927,32306.888672516543,32378.54170155861,32332.708369642332,False,31.03182578086853,
4,0,0,1,1,1,24,7,2929,32184.951908742118,32232.73439501509,32202.168502360648,True,4.007542848587036,
4,0,1,1,1,1,24,8,2929,32186.91822327392,32240.673520331013,32206.286891094765,True,6.595446825027466,
4,0,2,1,1,1,24,9,2929,32188.41364061441,32248.141748455622,32209.934382637573,False,26.239802598953247,
4,0,3,1,1,1,24,10,2929,32190.181552890404,32255.88247151574,32213.854369115885,True,13.27527379989624,
4,0,4,1,1,1,24,11,2929,32182.20856470838,32253.878156900075,32208.032417282066,True,14.380529403686523,
4,0,5,1,1,1,24,12,2929,32164.51381465255,32242.15138932853,32192.48853016234,False,28.64753794670105,
4,0,6,1,1,1,24,13,2929,32163.944835935552,32247.54970165588,32194.07024086828,True,25.342885971069336,
4,1,0,1,1,1,24,6,2928,32456.402768618544,32498.210030730366,32471.46668261986,True,4.127092123031616,
4,1,1,1,1,1,24,7,2928,32188.60221887422,32236.381947002017,32205.81812059001,True,11.578449964523315,
4,1,2,1,1,1,24,8,2928,32189.72262914665,32243.47482329042,32209.090518576915,True,7.583921432495117,
4,1,3,1,1,1,24,9,2928,32195.155517343046,32254.880177502793,32216.675394487786,False,18.4207661151886,
4,1,4,1,1,1,24,10,2928,32225.82436662493,32291.517699043066,32249.495279748597,False,21.563294649124146,
4,1,5,1,1,1,24,11,2928,32174.697425002363,32246.35873847693,32200.51920065899,False,24.86405086517334,
4,1,6,1,1,1,24,12,2928,32166.537356805617,32244.16595977662,32194.50982144812,True,27.910968780517578,
4,2,0,1,1,1,24,6,2927,33377.85734562688,33419.66219352933,33392.920653978304,True,4.106412649154663,
4,2,1,1,1,1,24,7,2927,32461.80184818238,32509.57881721375,32479.017057726865,True,9.109172105789185,
4,2,2,1,1,1,24,8,2927,32273.253587336563,32327.002677496857,32292.620698074108,False,22.982940435409546,
4,2,3,1,1,1,24,9,2927,32423.54626013182,32483.267471421037,32445.065272062428,False,24.475102424621582,
4,2,4,1,1,1,24,10,2927,32393.992332405447,32459.681869757133,32417.66229342402,False,21.525575399398804,
4,2,5,1,1,1,24,11,2927,32306.280204950184,32377.937376923415,32332.100941543264,False,24.772855758666992,
4,2,6,1,1,1,24,12,2927,32425.887919499353,32503.512034294927,32453.859258052293,False,34.07191324234009,
5,0,0,1,1,1,24,8,2929,32176.01560648284,32229.76780062661,32195.383495913105,True,7.737464189529419,
5,0,1,1,1,1,24,9,2929,32177.89343764897,32237.618097808718,32199.41331479371,True,8.030238628387451,
